train/epoch,train/loss,train/log_prob,train/kl,train/physics_temporal,train/physics_momentum,train/physics_contact,train/physics_total_physics,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
26,26818.814765625,-13406.724541015625,34.29604528427124,0.024633953403681515,0.044005093649029735,0.0005127981584519147,0.06915184501558543,0.039739035,0.003882069,0.04684067,0.024729734,0.044305842,0.13976154,1.0,0.0,0.0045668087,-13483.84306640625,55.80519561767578,13488.20283203125,0.078125
27,26814.68544921875,-13404.6808203125,34.02820827484131,0.025035368911921978,0.04484235133975744,0.00017071153968572616,0.07004843182861804,0.020599531,0.0048523396,0.03195928,0.0067509785,0.024235308,0.10023697,0.99999976,0.0,0.0036357844,-13494.59150390625,56.74072380065918,13499.02431640625,0.078125
28,26813.318203125,-13403.977001953124,34.28749029159546,0.023981090057641267,0.04332089832052589,0.00017511670477688313,0.06747710533440113,0.042231314,0.003668371,0.050604798,0.031818483,0.045794245,0.14461376,1.0,0.0,0.0035629352,-13477.6951171875,59.86695823669434,13482.3720703125,0.078125
29,26807.79037109375,-13401.276123046875,33.48219890594483,0.02367296865209937,0.04281604539602995,8.49846750497818e-05,0.06657399836927652,0.019781094,0.0051457854,0.03117471,0.0071315,0.02321347,0.10358452,1.0,0.0,0.0034323835,-13494.06923828125,55.26680450439453,13498.38701171875,0.078125
30,26798.34138671875,-13396.5369921875,33.6677529335022,0.023971651084721088,0.043622055165469645,8.841853588819503e-05,0.06768212474882603,0.03230504,0.0027427166,0.0379806,0.025487624,0.034687318,0.123905934,1.0,0.0,0.002382275,-13492.5142578125,54.539085388183594,13496.775,0.078125
31,26810.97533203125,-13402.841298828125,33.83056636810303,0.02390264891088009,0.043286069743335244,0.0,0.06718871846795083,0.008212535,0.0034618932,0.015905138,0.0020549695,0.011981872,0.050159223,0.99451035,0.0,0.0037693346,-13501.49287109375,54.629249572753906,13505.76083984375,0.078125
32,26791.64578125,-13393.188564453125,33.67666660308838,0.023627537451684475,0.04300621397793293,0.0003426435962319374,0.06697639439254999,0.011782214,0.003634286,0.018260019,0.0040943427,0.014583093,0.06322124,0.99910194,0.0,0.0028008767,-13491.8734375,53.86146011352539,13496.0814453125,0.078125
33,26795.159765625,-13394.961845703125,33.467608528137205,0.0240742839127779,0.04386409215629101,0.0004260103218257427,0.0683643864095211,0.030190831,0.0050785085,0.039923217,0.016388774,0.03337075,0.12589625,1.0,0.0,0.003179919,-13472.22958984375,56.998955154418944,13476.6826171875,0.078125
34,26791.80552734375,-13393.306474609375,33.18899129867554,0.023769457582384346,0.04375169064849615,0.00026009825989603997,0.06778124682605266,0.0070706382,0.0022803568,0.013184421,0.002556927,0.010543592,0.04076168,0.9847084,0.0,0.0034729517,-13487.59912109375,53.489424514770505,13491.77802734375,0.078125
35,26795.1648046875,-13394.964638671874,33.464133491516115,0.02385616697371006,0.04382128939032555,0.0,0.06767745643854141,0.0147442,0.0043298313,0.023827992,0.004382549,0.017918292,0.06896256,0.9990783,0.0,0.0031740917,-13483.234765625,57.6449390411377,13487.73828125,0.078125
36,26782.9943359375,-13388.8856640625,33.3826145362854,0.024584105499088765,0.04513499327003956,0.0003402599319815636,0.07005935858935118,0.029557504,0.004257264,0.037839644,0.019526877,0.032516316,0.122303635,1.0,0.0,0.0029588176,-13486.650390625,54.31253929138184,13490.8935546875,0.078125
37,26779.35701171875,-13387.069697265624,33.34940958023071,0.023871643748134375,0.044153260923922064,0.00017083732411265373,0.06819574166089297,0.038439274,0.0027555525,0.04365345,0.032774985,0.04014268,0.13701259,1.0,0.0,0.0017034209,-13489.92333984375,49.839944458007814,13493.8171875,0.078125
